sequence_ID,Frame,FPS,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mediapipeResult,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
1,Frame_1,24.732069249794606,0.025453,0.025031,0.110387,0.058801,0.035471,5e-5,0,0,0.396295,0.388824,0.534232,0.5111,0.079862,0.081645,0.088954,0.084951,0.02332,0.016876,0.513224,0.350824,0.001928,0.001106,1.47e-4,0.001738,0.437986,1.79e-4,24731,0.418515,1.03e-4,4.5e-4,0.005466,0.004721,0.001942,0.001148,0.002666,0.001275,0.001015,0.003638,0.016876,3.68e-4,8.08e-4,0.003275,0.001214,0.005882,0.001251,0.002075,0.012379,0.02291,0.002845,0.004195,0,1e-6
1,Frame_2,24.732069249794606,0.006094,0.006794,0.173426,0.154256,0.069814,7.6e-5,1e-6,0,0.662763,0.57554399999999994,0.702863,0.692614,0.112804,0.06992,0.049407,0.103661,0.008549,0.007218,0.548335,0.411694,5.46e-4,3.5e-4,2.2e-4,0.001235,0.356821,3.15e-4,24732,0.294576,2.46e-4,7.45e-4,0.004247,0.003496,0.003709,0.001436,0.004102,0.002374,0.002187,0.006495,0.011449,2.64e-4,0.001344,0.003709,0.001671,0.010876,0.006512,0.011373,0.018011,0.027048,0.012577,0.016282,0,1e-6
1,Frame_3,24.732069249794606,0.003059,0.003004,0.235859,0.218591,0.096492,8.8e-5,1e-6,0,0.653592,0.596463,0.727663,0.714757,0.09743,0.106268,0.071025,0.057117,0.007981,0.005783,0.562591,0.415627,5.72e-4,3.33e-4,2.66e-4,9.31e-4,0.316158,5.07e-4,24733,0.218996,1.98e-4,0.001122,0.006758,0.005285,0.004268,0.0012,0.005292,0.003063,0.002123,0.010232,0.009239,2.8e-4,0.00179,0.003734,0.002537,0.0152,0.011089,0.023599,0.026315,0.047138,0.023134,0.038791,1e-6,1e-6
1,Frame_4,24.732069249794606,0.003086,0.002884,0.228605,0.222749,0.095311,7e-5,1e-6,0,0.609583,0.583962,0.702368,0.695312,0.074256,0.146691,0.110599,0.033928,0.0096,0.006615,0.521937,0.413969,7.06e-4,3.67e-4,2.28e-4,7.62e-4,0.322361,6.76e-4,24734,0.222026,1.01e-4,0.001157,0.011704,0.009081,0.004304,9.59e-4,0.005161,0.002292,0.001131,0.009533,0.011944,3.35e-4,0.001591,0.003338,0.002613,0.015964,0.006567,0.017847,0.029321,0.067748,0.017328,0.03925,1e-6,1e-6
1,Frame_5,24.732069249794606,0.003927,0.003688,0.198154,0.194664,0.085858,6.9e-5,1e-6,0,0.575125,0.560196,0.694816,0.684924,0.071307,0.139312,0.110543,0.036572,0.010382,0.006732,0.545776,0.394167,8.17e-4,4.17e-4,2.06e-4,8.36e-4,0.319646,5.72e-4,24735,0.232215,8.7e-5,0.001094,0.01627,0.013028,0.003499,9.32e-4,0.004382,0.001833,9.58e-4,0.008784,0.011497,3.14e-4,0.001758,0.003338,0.003224,0.018329,0.00519,0.01485,0.027052,0.073068,0.016253,0.03907,1e-6,1e-6
1,Frame_6,24.732069249794606,0.005801,0.005581,0.151846,0.174472,0.07478,6.7e-5,1e-6,0,0.547704,0.538333,0.675382,0.671233,0.061415,0.156953,0.133752,0.03258,0.01224,0.008252,0.570898,0.409633,9.56e-4,5.04e-4,1.88e-4,0.001058,0.397543,3.82e-4,24736,0.328421,7.1e-5,9.62e-4,0.020642,0.016104,0.002743,0.001015,0.003927,0.001553,6.78e-4,0.006183,0.013156,2.6e-4,0.00137,0.002757,0.002756,0.01477,0.004498,0.012469,0.032394,0.077428,0.012519,0.030887,0,1e-6
1,Frame_7,24.732069249794606,0.004198,0.004141,0.207,0.192678,0.079247,8.5e-5,1e-6,0,0.510785,0.48826,0.663756,0.653628,0.056675,0.145425,0.127984,0.036934,0.012714,0.008665,0.540438,0.400236,0.001062,6.2e-4,2.74e-4,0.001343,0.41827,3.83e-4,24737,0.312799,1e-4,0.001085,0.016653,0.013335,0.003098,0.001096,0.006447,0.002823,0.001048,0.007964,0.007707,1.81e-4,0.001357,0.003748,0.00211,0.010299,0.006452,0.01591,0.03709,0.081952,0.016989,0.034551,0,1e-6
1,Frame_8,24.732069249794606,0.005585,0.005436,0.198462,0.158296,0.070047,8.4e-5,1e-6,0,0.500823,0.495715,0.675257,0.659369,0.051612,0.146235,0.130727,0.037973,0.012502,0.007832,0.560776,0.403744,0.001123,5.64e-4,2.9e-4,0.001383,0.395726,4.16e-4,24738,0.259376,9.3e-5,0.001043,0.01576,0.013054,0.003611,8.3e-4,0.006124,0.002809,0.001031,0.007299,0.008046,2.27e-4,0.001266,0.004049,0.001818,0.009183,0.005805,0.014689,0.037928,0.101802,0.014421,0.031304,1e-6,1e-6
1,Frame_9,24.732069249794606,0.005736,0.005575,0.206839,0.157548,0.070697,8.2e-5,1e-6,0,0.515405,0.494034,0.679481,0.664002,0.05549,0.133316,0.116662,0.045172,0.012064,0.007631,0.555403,0.407658,0.001074,5.59e-4,2.87e-4,0.001471,0.37955,4.17e-4,24739,0.244079,8.4e-5,0.001007,0.01634,0.01368,0.003853,7.25e-4,0.005779,0.002563,9.44e-4,0.006805,0.008771,2.67e-4,0.001238,0.004139,0.001785,0.009565,0.005053,0.012953,0.03688,0.104644,0.012897,0.028332,1e-6,1e-6
1,Frame_10,24.732069249794606,0.006483,0.006009,0.203569,0.146006,0.070752,7.4e-5,1e-6,0,0.522509,0.480589,0.676152,0.663437,0.060064,0.122906,0.104087,0.052012,0.011974,0.007838,0.549295,0.396656,0.001044,6.17e-4,2.75e-4,0.001635,0.363285,3.79e-4,24740,0.238627,7.2e-5,8.67e-4,0.016838,0.014596,0.004291,8.07e-4,0.005335,0.002231,7.72e-4,0.005967,0.011415,2.58e-4,0.001244,0.004057,0.001779,0.010427,0.003895,0.010113,0.033414,0.108898,0.011474,0.02477,1e-6,1e-6
