value,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,X_neutral
PC10,0.0020705681996378168,0.003414929646194441,-0.04228052009358172,-0.0108397318011602,-0.011037652433312228,-6.963923124542828e-6,-7.029668837052459e-8,4.04417765601114e-8,-0.004464776786117741,-0.004934821170494174,-0.001307154237835647,0.0013749744925777988,0.011795266020949735,-0.0032555982020189525,-0.004242988901523791,0.01190667757387109,-0.0034397626160129246,-0.007074624406420357,-0.009422941570970683,-0.026989172629128845,7.487213659218541e-5,-0.0013402222958251954,-3.4554570477308246e-6,-0.005971811962905983,-0.045451915305817235,-1.1712623456632709e-4,-0.035489752484371036,0.00474363204976632,-0.0018167921857983724,-0.001150314564782352,-0.0013803440847292288,0.001949864541406786,0.0018921947716277004,-0.00167955265001147,-0.0012384829090856667,0.004953835209774502,-0.004750532757283882,-0.005816671834706047,-0.00417648199002281,-0.01222813375375955,-0.018149063033926674,-0.008007516304161848,-6.895729785607089e-4,-0.0024255989364267883,-0.0026582533422639717,-4.0952579908937425e-4,-5.322692975606752e-4,-3.8092081568624775e-4,-8.488729491634053e-4,7.129311294263162e-9,-2.633533082339447e-8,4.930300141088544e-8
PC11,-0.015266802198460196,-0.011883327522828918,0.007397063751356599,2.616909678311922e-4,4.1589208231386884e-4,6.415774765484525e-6,7.767212161884354e-8,-4.589571002187687e-8,-0.0012228546231591707,-0.0037404576212187765,-0.013144629146848736,-0.01614414758373497,-0.0044831969783471915,-0.008541777960271755,-0.011087589885787388,-0.0034262450347778664,0.0056691050371932596,0.00635174535197794,-0.001733312654788436,0.0071852699885167,-0.001339989013680185,-0.0016380741254752387,-2.0304576228082737e-5,-0.008360062259196763,0.027072606715591543,-4.3456370122433945e-4,0.0379972919664103,-0.005096194561257022,0.0038188483331760992,0.0017337782358024132,0.001786145728694398,4.2476010449376015e-4,-3.2257929670224245e-4,-6.838856380887861e-4,-0.001015429861448182,-0.002143056023608471,0.001991887017415788,0.005759942756528983,-0.003788855440335454,3.1971457869975367e-4,-0.006887540964997476,0.004423346971553201,-0.0020453758456504267,0.006067168907539021,0.00739654777254698,4.7432300238377435e-4,-0.002843002439759132,0.0037015693109264747,0.0054958201324752385,-1.659497668106453e-7,3.053557265343084e-8,2.0210797338147646e-7
PC12,0.008756436184388901,0.011072435899944229,0.02260611067453633,0.0174468301514871,0.011298434888065634,1.2129143548550126e-5,-1.0439614101667908e-7,6.774200071269958e-8,-0.026281057653291914,-0.008164246461543243,-0.010442107382559759,0.0016932297820547726,-0.008876185545399495,-0.012184022105453813,-5.240096732108308e-4,-0.0043016760229471354,-0.01134330198801776,-0.015244576900605038,0.011945261279566556,-0.009775058344591744,6.573303166425246e-4,-0.0011680025919976822,1.4424326536584347e-7,0.0014562020216662879,0.031400128380744415,-0.00375855444719699,0.03997009466337857,0.0012857346834877093,-0.0012474370113909469,-0.001532867693138666,-0.0016755276229072965,-7.058058849964606e-4,0.004349556176510582,-8.730778791708216e-4,-8.702018652357143e-4,0.0046724330376650275,-7.834792618517959e-4,-0.008264994749140562,0.001432956731144806,0.001599392550143161,0.007269775039870505,-5.021263515085163e-4,0.0016497375654465354,-0.0028835063333717222,-0.0029802741248754275,-1.3630489203023043e-4,0.0014278209015954142,8.611419277961953e-4,9.045299174637226e-4,-2.1952838496380166e-8,1.0923097382054753e-7,1.5394662850475852e-7
PC13,-0.006992857092710811,-0.012890774086287223,0.020523685049511558,0.006561800009253818,0.009788231223186622,-8.969584093817421e-6,1.076540235268066e-7,-7.469102730528611e-9,0.013250277429048433,0.005479183774660332,-0.0047953853640766864,-0.007133991857764728,0.005251080000665722,9.358341983872374e-4,-0.0010207928660555066,0.0030098563711614132,0.019240363040048693,0.015751769009455276,0.0015540670062221345,0.01711973025452467,-0.0027739240764355026,-5.402205029869039e-4,-1.036095902191057e-5,0.0028833961012358156,-0.03388869619917737,-0.0010541919843751052,-0.005394644369988004,-0.005563077982428124,-0.0013851043742073579,-0.003050829692776448,-0.0044660037456824096,-0.0014332927369582926,2.341630433283426e-4,-2.535314620250927e-4,-7.941542567521058e-4,0.0033593186101835747,0.014459679966635414,-0.033914741159370876,0.0032838435191822305,-0.008470864087903079,-0.020561761171073677,-0.0010974410242493848,0.0017349540624143412,-0.0026090643413880315,-0.003138626358722944,6.827478166364259e-5,7.528324757563896e-4,5.076407449578545e-4,8.841918763354633e-4,-3.840961647733823e-8,-1.9167667390264322e-8,1.9044054160235248e-7
PC14,0.025808138147806473,0.011574027943378685,8.447182887416721e-4,-0.0027677954013241883,0.01632117983243188,-2.9493234193454673e-6,4.441514040620895e-8,1.3454157557184147e-8,-0.005803782663498783,-0.03587854943533409,0.011517674827770635,-0.015423321471528277,-0.00801749559332801,-0.0034276995136884557,0.0018879324309255584,-0.00815804157265807,-0.024485652987755395,-9.859811661614812e-4,-0.019656001832452072,0.029609334473049403,0.0010799860664687608,0.0016099582193327812,-8.19926697296857e-6,0.0014535651637040152,0.003694766128966528,7.690663543113224e-4,-0.006166361503726487,0.004982070700720677,0.007522112855639754,0.0014793197444879513,0.001994023095148211,-0.0011218190296771254,7.768438399178537e-4,4.2779372274877725e-5,-5.414328952545993e-4,9.943130750963208e-4,-0.0031897727908540003,-0.06075476736300675,0.0014325956725772927,-0.010178655863422141,-0.01569564161246169,-0.002495481111116283,-0.0013311415754736324,-0.014022370625559059,-0.015094362370807671,3.999705375290828e-4,-0.002904580384981783,4.6738120728925423e-4,-1.4053388741443679e-5,-8.671057306576809e-8,-2.499666813575119e-8,1.7815787373332887e-7
PC15,-0.027206335594106037,-0.03555077598943957,-0.050624081416932476,-0.05458472067712717,-0.034305814307059486,-5.163078185909399e-6,-4.7170704193373364e-8,-1.2337792957774552e-9,-0.009983698099958974,-0.01699436350099167,0.0018293634221500964,-0.010925313185472553,0.008212890754084008,0.004545113098073696,0.01276826033245719,0.01088649458240182,-0.030574135598337906,-0.016729282309474913,-0.01004167267805934,0.009358080227594727,0.0010039458748419368,-0.0026639134035536523,-4.208358215251169e-6,9.927640370233966e-4,0.026053698578608772,6.813769281104321e-4,0.02130322614040448,-0.007333138159019473,7.514728754560757e-5,-2.63081249234475e-4,-2.2049037801971777e-4,-7.123488407704081e-4,6.17752456365115e-4,4.1208288526962305e-4,1.5002613810044218e-4,7.839710016147186e-4,-0.004941000808593345,-0.0011083430343961165,0.002613195449907966,-0.006479069931141768,-0.003156666038620541,-0.00511822052853496,0.00151584261199293,-0.003964897301564132,-0.002205844555918915,0.0012153732006713138,0.0015927270786418354,-1.8692548863794725e-4,-1.6850215285418388e-5,1.3351681044714653e-8,7.860753061438399e-8,-1.3118138230929979e-8
PC16,0.015867505852045636,0.02222482586709921,-0.001225995124918746,0.016075721203194667,0.005892493649083136,7.214076588114305e-6,-4.586599455281255e-8,1.3989946275277444e-8,-0.005343895765536293,0.02412336767449764,-0.00247364698027672,0.014605059303487425,0.011626674443360624,-0.0036236399621077165,-0.005799163426822239,0.011055934436726846,-0.007043825070339126,-0.008052926570334545,0.0027561534110641488,-0.009139673599110085,0.0036978171746584955,0.001618677082907196,1.2818923294657527e-6,-0.006065071882061305,0.025536550039816034,0.0027349984479754863,0.01771165654045789,-0.007293722334957326,-0.0015401496986135218,-0.0013423725996096157,-0.0017441603105863336,-0.0018593129206333065,-0.0018235842976706267,2.141182077556228e-4,1.6647004772953725e-4,7.27711978983713e-4,0.0094622236927151809,-0.025716189004240688,-0.0019504869656161402,-6.367135725541528e-4,0.0036123437310921144,-9.916737623811333e-4,0.0021948184600056775,-0.01302922039415163,-0.009102908473102942,-3.8832620741370224e-4,0.0011097898553426978,0.0027805189150058207,0.0027168854122291424,7.069740079469192e-8,-1.1707892287134777e-8,-1.4323036161456637e-7
PC17,-0.0019258366336826344,-0.003321446872082459,0.006488000292258095,-0.01044617052623889,-0.0027103501613254554,-1.0838510822847192e-5,-7.631528846758042e-9,-3.4752438421303904e-8,0.0045224804208617376,-0.016946158146174558,0.005056724438656837,-0.011698092849488998,-0.01321834070542144,-0.04357735875692033,-0.03187269372446497,-0.01207157549313671,-8.752794859855937e-4,0.0091458381334206,-0.019972737902268604,0.025739170300338517,-7.905808551922537e-4,-7.492476869316562e-4,4.949459894632771e-6,-0.002639383187042407,-0.03234367585527884,-8.166267840958997e-4,-0.032132803106861306,-0.0034659381423504548,-0.0031955264780533835,-0.0011129610914634525,-4.8583760728756e-4,-8.998437498476709e-4,0.0018059176497956873,6.143166298157487e-4,6.128715140646952e-4,-0.0028642737531037674,-0.010106723684193367,-0.004065302211087055,-0.003316669995364055,0.005947926600447727,0.013143610090377213,-0.013258890571416961,0.00273908298996,-0.0036646548041156064,-0.0037010974824993274,-3.2604703467051526e-4,0.002125976460788183,0.0019161756842213838,0.0023561132872236346,1.5397002128625102e-7,2.500227672118005e-8,-3.0172657880483225e-7
PC18,-0.022180455408103678,-0.020096553352606596,-0.01685992655492329,-0.007783849963721506,-0.019565231713305348,4.398906673397346e-6,-4.372319233274041e-8,1.7851322355354242e-8,0.010217839487507171,0.016746630323022326,-0.012901681206684418,0.0038296913393355593,-1.858539536915329e-4,0.01028955998146179,-0.0015709238407404938,-0.0024681455679830973,0.014147778236815218,0.00524434941026619,0.014703865420927437,0.0017431127604972984,-8.12032322009122e-4,-1.38092737678587e-4,-9.90836457578767e-7,0.0037381334672143534,0.005212654450461617,1.5395996235415284e-4,0.0047429569253404,0.011584002092568125,-0.002656752668390485,-3.073339563389011e-5,-5.6829083945312514e-5,5.981531217464733e-4,0.0022881512805753065,3.7399186423030055e-4,0.0010727995132927494,0.005442180402526636,-0.0012634990209262136,-0.012868875032794241,-0.0019468803960013149,0.004604215865080365,8.053877233683452e-4,0.006939795986080944,0.0010867861357400446,-0.020751423668370603,-0.02143048628883849,-0.0017345207762588287,-0.001757143239020147,0.004139650137686295,0.0032109763127986515,1.964148472125673e-8,-7.2916753629415045e-9,2.2323066176984324e-7
PC19,0.014780505253504625,0.010033911943158043,0.009714363710123726,-0.00790582476669357,-0.0030576271261065543,2.478403059022348e-7,1.1568983414682347e-8,-1.2664296275662854e-8,0.005661824726101555,-0.014925395960625304,0.0059476877915170655,0.006724626666369446,0.009862387987711559,0.02906309410502736,0.013516486519548359,0.006103528627404611,-0.006178825422619158,-0.007339071921870035,-0.006101011117503009,0.0037354967490352063,-0.003444497674827281,0.0017461562165304158,-5.4533683041352715e-6,0.009740105110100377,0.006097981294441674,-4.395570592589582e-4,-1.8293861369935014e-5,-0.005250223161718395,-0.010379220188649462,2.917179863358935e-4,3.594765573859109e-4,-8.489301828153143e-4,9.627188776521246e-4,1.3415569116194368e-4,-1.4755139454279833e-4,-0.010099173266619646,-0.007069992081616917,5.462989942106424e-4,-0.006878957716644002,-0.0032613859246599314,-0.010755762627376741,2.387273751088058e-4,-0.0012670927956776009,0.007516093881307177,0.004384043037507541,-0.0010837922072582844,-1.3758283595377926e-4,0.002145196394716046,0.0020900639612387714,-3.132823798389998e-8,7.399323913540039e-8,-2.357376355715652e-9
